Date,Closing Price,Opening Price,Highest Price,Lowest Price
12/08/2024,45.9,45,45.9,44.8
09/08/2024,45.3,43.65,45.4,43.35
08/08/2024,43.35,43,43.95,42.75
07/08/2024,43.6,43.2,43.8,42.5
06/08/2024,43,41.9,43.4,41
05/08/2024,40.8,42.3,43.05,40.8
02/08/2024,43.4,41.35,44,41.2
01/08/2024,42.1,44.85,44.85,42
31/07/2024,44.5,44.65,45.4,44.3
30/07/2024,44.5,45.15,45.45,44.5
29/07/2024,45.2,45.5,45.7,45.2
26/07/2024,45.05,44.65,45.05,44.6
25/07/2024,44.6,44.8,44.9,44
24/07/2024,44.8,45.8,46.05,43.9
23/07/2024,46,47.5,47.7,46
22/07/2024,47.35,47.9,48.35,47.15
19/07/2024,47.5,47.3,48,47.2
18/07/2024,47.65,46.95,47.65,46.5
17/07/2024,46.9,48.2,48.4,46.4
16/07/2024,47.9,48.05,48.5,47.85
12/07/2024,47.9,48.2,48.4,47.6
11/07/2024,48,47.8,48.45,47.45
10/07/2024,47.2,48,48,47.2
09/07/2024,48,47.4,48.15,47.2
08/07/2024,47.2,47.3,47.8,47.05
05/07/2024,47.1,47.55,47.7,46.85
04/07/2024,47.3,47.25,47.9,46.95
03/07/2024,47.2,47.35,47.6,47.1
02/07/2024,47.15,47.15,47.65,47
01/07/2024,47.15,46.15,47.25,46.1
28/06/2024,46.1,45.95,47.1,45.9
27/06/2024,45.95,46.3,46.5,45.9
26/06/2024,46.3,46.6,46.7,45.5
25/06/2024,46.7,45.7,46.7,45.55
24/06/2024,45.5,47.7,48.2,45.5
21/06/2024,48.2,49,49,48.2
20/06/2024,48.7,49.05,49.4,48.3
19/06/2024,49.05,48.7,49.7,48.4
18/06/2024,48.6,49,49.4,48.6
14/06/2024,49,51,51.6,49
13/06/2024,50.7,51.5,51.5,50.7
12/06/2024,51.2,51,51.5,50.5
11/06/2024,51,48.75,51,48.55
10/06/2024,48.6,48.6,49.2,48.5
07/06/2024,48.35,48.7,49.05,48.2
06/06/2024,48.3,48.95,49.15,48
05/06/2024,48.75,49.15,49.7,48.75
04/06/2024,49.1,48.6,49.4,48.5
03/06/2024,48.5,48.1,48.75,48
31/05/2024,47.5,47.8,48.25,47.5
30/05/2024,47.7,47.8,48.2,46.9
29/05/2024,48.6,48.8,49.2,47.7
28/05/2024,48.8,47.8,48.95,47.8
27/05/2024,47.55,47.95,48.45,47.4
24/05/2024,47.95,49.5,50,47
23/05/2024,50,49.8,50.1,48.1
22/05/2024,50,51,51.8,49.9
21/05/2024,50.8,50.2,50.8,49.6
17/05/2024,49.2,48.85,49.8,48.65
16/05/2024,48.75,49.3,49.35,48.7
15/05/2024,48.55,47.7,49.2,47.7
14/05/2024,47.65,48,48.35,47.6
13/05/2024,47.9,48.05,48.55,47.55
10/05/2024,47.75,48,48.2,47.3
09/05/2024,48,48.55,48.8,47.5
08/05/2024,48.5,47.4,48.95,47.4
07/05/2024,48,48.7,48.7,47.75
06/05/2024,48.5,47.35,48.95,47.15
03/05/2024,46.7,47,47.6,46.6
02/05/2024,46.35,47,47.05,45.7
26/04/2024,47,46.5,47.4,46.05
25/04/2024,47,47.4,47.5,46.8
24/04/2024,47.5,46.35,47.95,46.2
23/04/2024,45.55,47,47.3,45
22/04/2024,47.25,46.5,48,46
19/04/2024,45,44.5,47.1,44.5
17/04/2024,45.1,48.4,48.4,45.1
15/04/2024,48.5,51.7,52.4,48.5
12/04/2024,52.1,51.7,52.2,50.9
